Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,TNG,8,Cy,2,44,,,,,,,
TNG vs Cy (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
chaos,39,22,60,121,1,,,,,,,
Rey,52,31,15,98,3,,,,,,,
Noah,30,36,17,83,5,,,,,,,
Dino,18,32,26,76,6,,,,,,,
andreese,0,3,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
The Nice Guys,139,124,120,-10,373,329,44,W,8,2,R,
(4-3),2,2,0,4,8,,,,,,,
(3-3),0,0,2,0,2,,,,,,,
Contingency White,105,120,124,-20,329,373,-44,L,2,8,R,
DanUK,33,41,34,108,2,,,,,,,
Klyde,29,26,32,87,4,,,,,,,
Klover,16,28,32,76,6,,,,,,,
HenryUS,23,24,24,71,8,,,,,,,
charmender,4,1,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,By,10,TNG,0,192,,,,,,,
By vs TNG (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
zilla,49,44,28,121,1,,,,,,,
jck,50,36,30,116,2,,,,,,,
Fire,32,41,37,110,3,,,,,,,
Spade,19,34,42,95,4,,,,,,,
Todd,4,3,3,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,154,158,140,0,452,260,192,W,10,0,R,
(6-1),2,2,2,4,10,,,,,,,
(4-4),0,0,0,0,0,,,,,,,
The Nice Guys,90,86,104,-20,260,452,-192,L,0,10,R,
chaos,32,17,30,79,5,,,,,,,
The Beast,18,28,27,73,6,,,,,,,
Rey,19,20,26,65,7,,,,,,,
Noah,21,20,20,61,8,,,,,,,
brisk (8) / Luk3 (4),0,1,1,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/9/22,Cy,10,Qnt,0,F,,,,,,,
Cy vs Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency White,100,100,100,300,300,0,300,W,10,0,R,
(4-3),2,2,2,4,10,,,,,,,
(0-9),0,0,0,0,0,,,,,,,
Quintessence,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/9/22,ST,10,Qnt,0,F,,,,,,,
ST vs Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Shadow Team,100,100,100,300,300,0,300,W,10,0,R,
(4-3),2,2,2,4,10,,,,,,,
(0-10),0,0,0,0,0,,,,,,,
Quintessence,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,bz,10,ST,0,53,,,,,,,
bz vs ST (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shiv,37,41,34,112,1,,,,,,,
Shark,36,23,38,97,3,,,,,,,
Mat,19,45,33,97,3,,,,,,,
Hakim,37,21,27,85,6,,,,,,,
Lxddz,2,0,1,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Ici Ca Bz,131,130,133,-5,389,336,53,W,10,0,R,
